,Title,Genre,Premiere,Runtime,IMDB Score,Language
253,Layla Majnun,Romantic drama,11-Feb-21,119,6.4,Indonesian
254,Let It Snow,Romantic comedy,8-Nov-19,92,5.8,English
255,Leyla Everlasting,Comedy,4-Dec-20,112,3.7,Turkish
256,Life Overtakes Me,Documentary,14-Jun-19,40,6.5,English/Swedish
257,Like Father,Comedy,3-Aug-18,103,6.1,English
258,Lionheart,Comedy,4-Jan-19,94,5.7,English
259,Little Evil,Comedy horror,1-Sep-17,94,5.7,English
260,Little Miss Sumo,Documentary,28-Oct-19,19,6.7,Japanese
261,Long Live Brij Mohan,Comedy,3-Aug-18,105,6.8,Hindi
262,Long Shot,Documentary,29-Sep-17,40,7.4,English
263,"Lorena, Light-Footed Woman",Documentary,20-Nov-19,28,7,Spanish
264,Los Tigres del Norte at Folsom Prison,Documentary,15-Sep-19,64,7,Spanish
265,Lost Bullet,Thriller,19-Jun-20,92,6.2,French
266,Lost Girls,Crime drama,13-Mar-20,95,6.1,English
267,Loudon Wainwright III: Surviving Twin,One-man show,13-Nov-18,91,7.1,English
268,Love Like the Falling Rain,Drama,15-Oct-20,86,5,Indonesian
269,Love per Square Foot,Romantic comedy,14-Feb-18,133,7.2,Hindi
270,Love Wedding Repeat,Romantic comedy,10-Apr-20,100,5.5,English
271,"Love, Guaranteed",Romantic comedy,3-Sep-20,91,5.6,English
272,Lovefucked,Drama,9-Aug-19,106,6,Hindi
273,Ludo,Anthology/Dark comedy,12-Nov-20,149,7.6,Hindi
274,Lust Stories,Drama,15-Jun-18,120,6.5,Hindi
275,Ma Rainey's Black Bottom,Drama,18-Dec-20,94,7,English
276,Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,18-Dec-20,31,7,English
277,Madame Claude,Drama,2-Apr-21,112,5.4,French
278,Malcolm & Marie,Romantic drama,5-Feb-21,106,6.7,English
279,Mank,Biopic,4-Dec-20,132,6.9,English
280,Marriage Story,Drama,6-Dec-19,136,7.9,English
281,Mascots,Mockumentary,13-Oct-16,95,5.8,English
282,Maska,Romantic comedy,27-Mar-20,111,5.9,Hindi
283,Mercury 13,Documentary,20-Apr-18,79,6.8,English
284,Mercy,Thriller,22-Nov-16,90,4.2,English
285,"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,7-Feb-17,54,6.7,English
286,Milestone,Drama,7-May-21,98,6.6,Hindi
287,Miss Americana,Documentary,31-Jan-20,85,7.4,English
288,Monster,Drama,7-May-21,98,6.5,English
289,Mowgli: Legend of the Jungle,Adventure,7-Dec-18,104,6.5,English
290,Moxie,Drama,3-Mar-21,111,6.7,English
291,Mrs. Serial Killer,Thriller,1-May-20,106,4.8,Hindi
292,Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,8-Jul-20,96,7.3,Spanish/English
293,Murder Mystery,Comedy mystery,14-Jun-19,97,6,English
294,Murder to Mercy: The Cyntoia Brown Story,Documentary,29-Apr-20,97,6.4,English
295,Music Teacher,Drama,19-Apr-19,101,6.3,Hindi
296,Mute,Science fiction/Mystery,23-Feb-18,126,5.5,English
297,My Beautiful Broken Brain,Documentary,18-Mar-16,91,7.1,English
298,My Octopus Teacher,Documentary,7-Sep-20,85,8.1,English
299,My Own Man,Documentary,13-Dec-14,81,6.4,English
300,Nail Bomber: Manhunt,Documentary,26-May-21,72,6.3,English
301,Naked,Comedy,11-Aug-17,96,5.4,English
302,Nappily Ever After,Comedy-drama,21-Sep-18,98,6.4,English
303,Night in Paradise,Drama,9-Apr-21,132,6.7,Korean
304,Nobody Knows I'm Here,Drama,24-Jun-20,91,6.5,Spanish
305,Nobody Sleeps in the Woods Tonight,Horror,28-Oct-20,103,4.8,Polish
306,Nobody Speak: Trials of the Free Press,Documentary,23-Jun-17,95,6.5,English
307,Notes for My Son,Drama,24-Nov-20,83,6.3,Spanish
308,Notes from Dunblane: Lesson from a School Shooting,Documentary,28-Sep-18,23,5.9,English
309,Octonauts & the Caves of Sac Actun,Animation,14-Aug-20,72,6.2,English
310,Octonauts & the Great Barrier Reef,Animation,13-Oct-20,47,7.3,English
311,Offering to the Storm,Thriller,24-Jul-20,139,6.2,Spanish
312,Okja,Action-adventure,28-Jun-17,121,7.3,English/Korean
313,Òlòt?ré,Crime drama,2-Oct-20,106,5.5,English
314,On My Skin,Crime drama,12-Sep-18,100,7.3,Italian
315,One of Us,Documentary,20-Oct-17,95,7.1,English
316,One Take,Documentary,18-Jun-20,85,5.7,Thai
317,One-Way to Tomorrow,Romance,19-Jun-20,90,5.6,Turkish
318,Operation Christmas Drop,Romantic comedy,5-Nov-20,96,5.8,English
